Instance;Repetition;Algorithm;Fitness;Real_Time
"N-t59f11xx";11;"PLEDA";122161.000;146.797
"N-t59b11xx";7;"PLEDA";208870.000;142.989
"N-t59i11xx";14;"PLEDA";8258754.000;160.889
"N-t59b11xx";5;"PLEDA";208610.000;169.309
"N-t59i11xx";2;"PLEDA";8240034.000;144.674
"N-t59f11xx";15;"PLEDA";122298.000;171.048
"N-t59f11xx";1;"PLEDA";122362.000;158.937
"N-t59b11xx";19;"PLEDA";208390.000;146.463
"N-t59b11xx";4;"PLEDA";208370.000;154.692
"N-t59f11xx";14;"PLEDA";122376.000;151.758
"N-t59b11xx";18;"PLEDA";209180.000;174.685
"N-t59i11xx";5;"PLEDA";8226059.000;169.707
"N-t59f11xx";19;"PLEDA";122359.000;174.966
"N-t59b11xx";1;"PLEDA";208550.000;165.933
"N-t59i11xx";1;"PLEDA";8225818.000;178.460
"N-t59f11xx";3;"PLEDA";122310.000;170.509
"N-t59b11xx";20;"PLEDA";209020.000;175.814
"N-t59i11xx";13;"PLEDA";8238502.000;185.508
"N-t59n11xx";2;"PLEDA";20821.000;168.125
"N-t59i11xx";9;"PLEDA";8249208.000;170.787
"N-t59f11xx";17;"PLEDA";121947.000;179.168
"N-t59f11xx";12;"PLEDA";121953.000;189.216
"N-t59f11xx";8;"PLEDA";122430.000;192.766
"N-t59f11xx";6;"PLEDA";121369.000;172.840
"N-t59i11xx";12;"PLEDA";8229752.000;193.006
"N-t59i11xx";6;"PLEDA";8248278.000;187.464
"N-t59i11xx";19;"PLEDA";8229537.000;193.784
"N-t59f11xx";4;"PLEDA";121948.000;193.123
"N-t59d11xx";15;"PLEDA";144275.000;197.455
"N-t59d11xx";5;"PLEDA";146625.000;198.482
"N-t59n11xx";4;"PLEDA";20795.000;196.489
"N-t59f11xx";13;"PLEDA";122152.000;191.160
"N-t59i11xx";3;"PLEDA";8244748.000;188.939
"N-t59i11xx";11;"PLEDA";8244042.000;173.782
"N-t59i11xx";18;"PLEDA";8228842.000;188.556
"N-t59i11xx";17;"PLEDA";8248918.000;191.169
"N-t59d11xx";10;"PLEDA";144694.000;194.576
"N-t59f11xx";20;"PLEDA";122151.000;194.780
"N-t59f11xx";9;"PLEDA";122460.000;181.595
"N-t59f11xx";16;"PLEDA";122341.000;191.759
"N-t59i11xx";20;"PLEDA";8228546.000;197.865
"N-t59b11xx";2;"PLEDA";208370.000;205.426
"N-t59f11xx";5;"PLEDA";121830.000;185.452
"N-t59i11xx";4;"PLEDA";8256787.000;196.322
"N-t59b11xx";13;"PLEDA";209050.000;179.146
"N-t59i11xx";16;"PLEDA";8251276.000;195.804
"N-t59d11xx";6;"PLEDA";146628.000;198.266
"N-t59b11xx";17;"PLEDA";209050.000;181.288
"N-t59b11xx";9;"PLEDA";208950.000;189.051
"N-t59f11xx";18;"PLEDA";121919.000;195.212
"N-t59d11xx";8;"PLEDA";144513.000;197.215
"N-t59f11xx";7;"PLEDA";122302.000;189.261
"N-t59d11xx";11;"PLEDA";144473.000;197.435
"N-t59n11xx";3;"PLEDA";20843.000;190.103
"N-t59d11xx";14;"PLEDA";147354.000;200.808
"N-t59f11xx";2;"PLEDA";122341.000;188.765
"N-t59n11xx";1;"PLEDA";20775.000;201.169
"N-t59d11xx";12;"PLEDA";147354.000;200.321
