"";"Instance";"Algorithm";"Fitness";"Normalized"
"1";"N-be75eec";"Gradient_100_0.1_superlinear";234158,5;0,00974989850463496
"2";"N-be75np";"Gradient_100_0.1_superlinear";714104,5;0,00403001977701348
"3";"N-be75oi";"Gradient_100_0.1_superlinear";110879,5;0,00262208669527125
"4";"N-be75tot";"Gradient_100_0.1_superlinear";977268,5;0,00331203162416524
"5";"N-stabu70";"Gradient_100_0.1_superlinear";359659;0,00787008430065763
"6";"N-stabu74";"Gradient_100_0.1_superlinear";537256;0,00764139913149967
"7";"N-stabu75";"Gradient_100_0.1_superlinear";549430,5;0,00699887764931692
"8";"N-t59b11xx";"Gradient_100_0.1_superlinear";208295;0,00489680871393082
"9";"N-t59d11xx";"Gradient_100_0.1_superlinear";146653;0,00475725124530043
"10";"N-t59f11xx";"Gradient_100_0.1_superlinear";122463;0,000465230166503428
"11";"N-t59i11xx";"Gradient_100_0.1_superlinear";8257762,5;0,000457844144164318
"12";"N-t59n11xx";"Gradient_100_0.1_superlinear";20869;0,00281918960244648
"13";"N-t65b11xx";"Gradient_100_0.1_superlinear";354662;0,00587513104121001
"14";"N-t65d11xx";"Gradient_100_0.1_superlinear";236946,5;0,0033334875640934
"15";"N-t65f11xx";"Gradient_100_0.1_superlinear";216114;0,00543500770841483
"16";"N-t65i11xx";"Gradient_100_0.1_superlinear";14454265,5;0,00102960344008841
"17";"N-t65l11xx";"Gradient_100_0.1_superlinear";16691,5;0,00164483521741731
"18";"N-t65n11xx";"Gradient_100_0.1_superlinear";32081;0,00236340454644401
"19";"N-t65w11xx";"Gradient_100_0.1_superlinear";137690315;0,00355124001862803
"20";"N-t69r11xx";"Gradient_100_0.1_superlinear";767657,5;0,00452765937581453
"21";"N-t70b11xx";"Gradient_100_0.1_superlinear";527288,5;0,00213940074070009
"22";"N-t70d11xx";"Gradient_100_0.1_superlinear";374971;0,00465591611918508
"23";"N-t70d11xxb";"Gradient_100_0.1_superlinear";365543,5;0,00252545235749818
"24";"N-t70f11xx";"Gradient_100_0.1_superlinear";358177,5;0,00599024244038897
"25";"N-t70i11xx";"Gradient_100_0.1_superlinear";24745567;0,00162250277195208
"26";"N-t70k11xx";"Gradient_100_0.1_superlinear";60588850;0,00115975812407681
"27";"N-t70l11xx";"Gradient_100_0.1_superlinear";25249;0,000158397022135984
"28";"N-t70n11xx";"Gradient_100_0.1_superlinear";52480,5;0,00424066484517304
"29";"N-t70u11xx";"Gradient_100_0.1_superlinear";21675800;0,00186955480650568
"30";"N-t70w11xx";"Gradient_100_0.1_superlinear";223645994;0,00300445853336792
"31";"N-t70x11xx";"Gradient_100_0.1_superlinear";283127629;0,00240033375983516
"32";"N-t74d11xx";"Gradient_100_0.1_superlinear";565397;0,00122242262259115
"33";"N-t75d11xx";"Gradient_100_0.1_superlinear";577210;0,00189173860115095
"34";"N-t75e11xx";"Gradient_100_0.1_superlinear";2731073,5;0,00297365781998446
"35";"N-t75i11xx";"Gradient_100_0.1_superlinear";63453980;0,00178950846683463
"36";"N-t75k11xx";"Gradient_100_0.1_superlinear";108705,5;0,0012724633420308
"37";"N-t75n11xx";"Gradient_100_0.1_superlinear";93294;0,00515051665120445
"38";"N-t75u11xx";"Gradient_100_0.1_superlinear";52642513,5;0,00124855992857143
"39";"N-tiw56n54";"Gradient_100_0.1_superlinear";91223;0,00361535268803111
"40";"N-tiw56n58";"Gradient_100_0.1_superlinear";124813,5;0,00327812559892672
"41";"N-tiw56n62";"Gradient_100_0.1_superlinear";176113;0,00340661517132105
"42";"N-tiw56n66";"Gradient_100_0.1_superlinear";225279;0,00559707257213735
"43";"N-tiw56n67";"Gradient_100_0.1_superlinear";225416,5;0,00272747784615521
"44";"N-tiw56n72";"Gradient_100_0.1_superlinear";363961,5;0,00324390791628554
"45";"N-tiw56r54";"Gradient_100_0.1_superlinear";102482;0,00452655709678673
"46";"N-tiw56r58";"Gradient_100_0.1_superlinear";128683,5;0,00682653124228204
"47";"N-tiw56r66";"Gradient_100_0.1_superlinear";208499;0,00473528695743493
"48";"N-tiw56r67";"Gradient_100_0.1_superlinear";222156;0,00293523629998654
"49";"N-tiw56r72";"Gradient_100_0.1_superlinear";269187;0,00545327584486982
"50";"N-usa79";"Gradient_100_0.1_superlinear";1790163,5;0,0131326812886097
