com_count,grade,temp_initial,temp_update,fitness,time
2,1,0.0001,0.9,0.231532622905321,203.57549290657045
2,1,0.001,0.9,0.22335600740241662,206.82026295661927
2,3,0.0001,0.9,0.19683542927903583,202.16350283622742
2,3,0.001,0.9,0.2358383423215618,206.35294876098632
2,5,0.0001,0.9,0.2283000969924494,214.9439751625061
2,5,0.001,0.9,0.21405939390016543,219.59915165901185
100,1,0.0001,0.9,0.9399264825346583,202.01127223968507
100,1,0.001,0.9,0.9388914223957435,201.4223258972168
100,3,0.0001,0.9,0.9432782712395328,202.33539757728576
100,3,0.001,0.9,0.9433998387055127,207.4461169242859
100,5,0.0001,0.9,0.9402102189571047,202.41579174995422
100,5,0.001,0.9,0.9373465552969751,211.154869222641
