com_count,algorithm,fitness,time
2,ILS,0.19249848234766836,229.86639018058776
10,ILS,0.7184280668754277,223.69291195869445
20,ILS,0.8082436798811115,203.5906205177307
30,ILS,0.8552846092564206,201.47896089553834
40,ILS,0.8841437449677196,202.11457443237305
50,ILS,0.9000224828301789,200.27392830848694
60,ILS,0.9154371639630068,203.81190738677978
70,ILS,0.9249551977916978,204.39123873710633
80,ILS,0.934818221700484,208.38074169158935
90,ILS,0.9389728460369913,208.07670845985413
100,ILS,0.9387783707818343,200.57296514511108
